Region,Office PBI,Project Title,Transparency Portal,Country TRANSPARENCY,Budget,Expenses from TP,EXPENSES without minos
RBAS,Sudan,Darfur Community Peace and Stability Fund 2020 COVID-19,https://open.undp.org/projects/00128632,SDN,271808,219559,219559
RBAP,Fiji,Pacific Coastal Aquifer Protection,https://open.undp.org/projects/00111621,FJI,257402,225676,225676
RBAP,Sri Lanka,National dev planning fin supp for SL,https://open.undp.org/projects/00127154,LKA,400824,241839,241839
RBA,South Africa,Support to the Orange-Senqu River,https://open.undp.org/projects/00088725,ZAF,250047,244697,244697
RBEC,Serbia,"Basel, Rotterdam, Stockholm and Minamata Conventions",https://open.undp.org/projects/00099637,SRB,311227,245820,245820
RBAP,Fiji,FJ Ridge to Reef Approach PPG,https://open.undp.org/projects/00074333,FJI,288304,247064,247064
RBEC,Montenegro,Low Carbon and resource efficient development,https://open.undp.org/projects/00119018,MNE,446916,258452,258452
RBAP,Regional Bureau for Asia and the Pacific,ROK Solar Irrigation,https://open.undp.org/projects/00144124,"KHM, MMR",1393597,269194,269194
RBAP,Philippines,PPG BD Corridor Management,https://open.undp.org/projects/00100503,PHL,289195,270966,270966
RBEC,Republic of Moldova,Transnistrian Dialogues,https://open.undp.org/projects/00110795,MDA,321600,271361,271361
RBAP,Indonesia,PIMS 6393 FOLUR Indonesia FSP,https://open.undp.org/projects/00127927,IND,375000,275905,275905
RBEC,Kyrgyzstan,Development of National Adaptation Plan,https://open.undp.org/projects/00121528,KGZ,1641903,277593,277593
RBAP,Fiji,Kiribati POIDIER Full Size Project,https://open.undp.org/projects/00103226,KIR,2333334,282865,282865
RBAP,Philippines,Reducing Pollution and Preserving Environmental Flows in the East Asian Seas,https://open.undp.org/projects/00104032,PHL,318754,287417,287417
RBLAC,Guatemala,Accelerator Lab - Guatemala,https://open.undp.org/projects/00129394,GTM,380766,295009,295009
RBAP,Pakistan,Glaciers & Students,https://open.undp.org/projects/00144462,PAK,454647,298681,298681
RBAS,Algeria,Integrated Management Plan for the Guerbes-Sanhadja Wetl,https://open.undp.org/projects/00115200,DZA,606526.00,299771.00,299771
RBEC,Regional Bureau for Europe and the CIS,PIMS4736: Regional SAP for Nubian SAS,https://open.undp.org/projects/00106577,"TCD, EGY, LBY, SDN",3995849.00,309256.00,309256
RBAP,India,SDGCC in Nagaland,https://open.undp.org/projects/00119967,IND,392614,315656,315656
RBAS,Libya,Libyan electricity & water sector stabilization support,https://open.undp.org/projects/00135006,LBY,655444,334257,334257
RBEC,Armenia,EU4Sevan - Lake Sevan ecosystem management,https://open.undp.org/projects/00129871,ARM,563708,341745,341745
RBA,Mauritius,Engagement Facility for Climate Promise,https://open.undp.org/projects/00117994,MUS,349932,345919,345919
RBAS,Lebanon,Second Biennial Update Report,https://open.undp.org/projects/00094935,LBN,377179.00,348355.00,348355
RBA,South Africa,Emergency Support to Crisis in Kwazulu-Natal,https://open.undp.org/projects/00143595,ZAF,400000,366832,366832
RBA,Liberia,Monrovia Metropolitan Climate RP,https://open.undp.org/projects/00136229,LBR,1023781,367091,367091
RBEC,Kazakhstan,Integrated Dryland and Drought Management in South Kazak,https://open.undp.org/projects/00103256,KAZ,422246.00,372131.00,372131
RBA,Sierra Leone,ENVIRONMENTAL PROTECTION AND CONSERVATION,https://open.undp.org/projects/00117364,SLE,383000,378635,378635
RBA,Ethiopia,Towards SI Riverside Devt AA,https://open.undp.org/projects/00120804,ETH,422150,408345,408345
RBEC,Armenia,Supporting Nationally Determined Contributions Towards C,https://open.undp.org/projects/00142417,ARM,812671.00,412850.00,412850
RBAP,Regional Bureau for Asia and the Pacific,ROK Mekong,https://open.undp.org/projects/00144127,Rgnl Center in Bangkok (RCB),829807,428214,428214
RBEC,Tajikistan,"Tajikistan Water Supply and Sanitation Projec, Phase III",https://open.undp.org/projects/00107566,TJK,642158,428525,428525
RBAP,China,Drinking Water Safety,https://open.undp.org/projects/00107506,CHN,688127.00,433081.00,433081
RBAS,Sudan,Support Democratic Transition and Economic Recovery,https://open.undp.org/projects/00137506,SDN,1434406,449012,449012
RBAP,Philippines,Local Governance and Decentralization,https://open.undp.org/projects/00074386,PHL,506503,482773,482773
RBA,Botswana,Integrated Water Resources Management for Southern Afric,https://open.undp.org/projects/00045537,BWA,583906.00,509624.00,509624
RBEC,Turkey,SDG Impact Accelerator Pilot Phase,https://open.undp.org/projects/00118638,TUR,544486,509806,509806
RBA,Kenya,4KEN10401:  Access to Clean Energy Services in Kenya,https://open.undp.org/projects/00059169,KEN,525101,510191,510191
